"band","species","beak_length","beak_depth","beak_width","recaptures"
"JP5446","fortis large",13.6,13.68,11.71,0
"JP5447","scandens",14.5,8.85,8.49,0
"JP5464","fortis small",11.94,10.2,10.06,0
"JP5465","fortis large",13.15,12.45,11.37,0
"JP5466","fortis small",11.48,10.09,9.7,0
"JP5467","scandens",15.43,8.07,8.3,0
"JP5469","fortis large",13.72,10.9,10,0
"JP5471","fortis large",13.46,12.52,11.43,0
"JP5497","scandens",14.54,8.9,8.23,0
"JP5498","scandens",14.48,8.12,8.06,0
"JP5499","fortis small",11.57,10.43,9.83,0
"JP5500","fortis large",12.87,11.2,10.54,0
"JP5501","fortis small",12.16,11.15,10.23,0
"JP5502","fortis small",11.9,10.72,9.88,0
"JP5503","scandens",14.02,7.78,8.12,0
"JP5505","fortis small",11.99,11.21,10.64,0
"JP5553","fortis small",11.955,10.63,8.27,0
"JP5554","fortis small",11.795,10.5675,9.585,2
"JP5555","fortis large",12.62,12.87,11.025,0
"JP5556","fortis small",11.01,10.17,9.25,0
"JP5557","fortis small",11.665,10.255,10.085,0
"JP5558","fortis small",12.16,11.24,10.28,0
"JP5559","scandens",14.65,8.90666666666667,8.54666666666667,2
"JP5560","scandens",13.45,8.08,7.82,0
"JP5561","scandens",15.1,8.105,8.335,0
"JP5562","fortis large",13.2,12.33,11.66,0
"JP5563","fortis large",13.04,12.53,10.92,0
"JP5564","fortis large",13.9828571428571,13.9114285714286,12.4985714285714,2
"JP5573","fortis small",11.29,9.88,9.09,0
"JP5574","fortis small",11.725,10.63,10.155,0
"JP5575","scandens",14.705,8,8.48,0
"JP5577","fortis small",10.81,9.34,8.6,0
"JP5578","scandens",15.6,8.72,8.44,0
"JP5584","fortis small",11.9,10.89,10.17,0
"JP5585","fortis large",12.415,12.595,10.775,0
"JP5586","fortis large",13.61,12.35,11.46,0
"JP5588","fortis small",11.63,10,10.11,0
"JP5589","fortis small",10.63,10.08,9.34,0
"JP559","fuliginosa",8.31,6.54,6.54,0
"JP5590","fortis small",11.08,9.75,9.53,0
"JP5591","scandens",13.48,8.38,8.35,0
"JP5592","fortis small",11.91,10.62,9.36,0
"JP5593","fortis small",11.93,10.58,9.84,0
"JP5594","fortis small",12.25,11.31,10.54,0
"JP5595","fortis small",10.75,9.88,9.06,0
"JP5596","fortis small",10.76,10,8.825,2
"JP5597","fortis small",11.165,10.465,9.165,0
"JP5598","scandens",15.6166666666667,8.94333333333333,8.49666666666667,3
"JP560","fuliginosa",8.97,7.42,6.81,0
"JP561","fuliginosa",8.71,6.87,7.06,0
"JP562","fuliginosa",8.49,6.97,6.65,0
"JP5632","scandens",15.89,9.79,8.97,0
"JP5633","fortis large",12.86,11.41,10.27,0
"JP5635","scandens",14.48,9,9.05,0
"JP5637","fortis large",13.36,13.37,12.3,0
"JP5639","fortis large",12.05,11.6,10.34,1
"JP564","fuliginosa",7.61,6.64,6.46,0
"JP5640","fortis small",12.33,11.24,9.9,0
"JP5641","fortis small",11.1,9.58,9.17,0
"JP5642","fortis small",10.13,9.74,8.81,0
"JP5643","fortis small",11.69,10.8,9.91,0
"JP5644","fortis large",13.2,12.21,11.59,0
"JP5645","fortis large",14.29,13.24,12.27,0
"JP5646","fortis small",11.81,9.88,9.07,0
"JP5647","fortis small",11.51,9.38,8.97,0
"JP5648","fortis small",12.02,10.9,9.77,0
"JP5649","fortis small",11.03,8.61,8.56,0
"JP5650","fortis large",14.51,14.64,13.64,0
"JP5651","fortis small",11.8,10.57,9.22,0
"JP5652","scandens",13.34,8.56,8.19,0
"JP5653","fortis small",12.04,10.69,9.65,0
"JP5654","fortis small",11.47,11.08,9.49,0
"JP5655","fortis small",10.87,9.92,8.92,0
"JP5656","fortis large",13.33,13.12,11.02,0
"JP5657","fortis large",13.44,13.96,11.96,0
"JP5658","fortis large",12.78,11.83,10.8,0
"JP5659","fortis large",13.15,13.46,12.06,0
"JP5661","fortis small",13.22,10.53,9.71,0
"JP5662","fortis small",11.37,10.65,9.42,0
"JP5663","scandens",13.77,8.32,7.97,0
